id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
54,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,PM2.5,22,88,48,NA
55,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,PM10,33,103,58,NA
56,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,NO2,24,47,32,NA
57,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,NH3,3,6,4,NA
58,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,SO2,14,20,17,NA
59,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,CO,25,65,52,NA
60,India,Delhi,Delhi,"Alipur, Delhi - DPCC",30-09-19 11:00,OZONE,4,76,32,NA
61,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,PM2.5,17,80,41,NA
62,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,PM10,17,135,70,NA
63,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,NO2,26,85,48,NA
64,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,NH3,4,7,5,NA
65,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,SO2,4,14,8,NA
66,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,CO,45,122,106,NA
67,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",30-09-19 11:00,OZONE,18,25,22,NA
68,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,PM2.5,12,92,45,NA
69,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,PM10,13,137,69,NA
70,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,NO2,15,57,27,NA
71,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,NH3,3,6,4,NA
72,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,SO2,4,41,17,NA
73,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,CO,22,82,50,NA
74,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",30-09-19 11:00,OZONE,10,127,71,NA
75,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",30-09-19 11:00,PM2.5,1,94,44,NA
76,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",30-09-19 11:00,PM10,13,108,58,NA
77,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",30-09-19 11:00,NO2,12,37,19,NA
78,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",30-09-19 11:00,CO,30,46,39,NA
79,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",30-09-19 11:00,OZONE,9,73,33,NA
80,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,PM2.5,28,335,90,NA
81,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,PM10,19,252,91,NA
82,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,NO2,46,101,62,NA
83,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,NH3,4,8,6,NA
84,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,SO2,5,11,8,NA
85,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,CO,70,109,96,NA
86,India,Delhi,Delhi,"Bawana, Delhi - DPCC",30-09-19 11:00,OZONE,8,156,70,NA
87,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",30-09-19 11:00,PM10,1,137,53,NA
88,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",30-09-19 11:00,NO2,38,71,48,NA
89,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",30-09-19 11:00,CO,44,51,47,NA
90,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",30-09-19 11:00,OZONE,15,63,41,NA
91,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",30-09-19 11:00,PM2.5,6,92,45,NA
92,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",30-09-19 11:00,PM10,22,115,61,NA
93,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",30-09-19 11:00,NO2,8,61,26,NA
94,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",30-09-19 11:00,CO,15,40,28,NA
95,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",30-09-19 11:00,OZONE,1,53,25,NA
96,India,Delhi,Delhi,"DTU, Delhi - CPCB",30-09-19 11:00,PM2.5,24,133,62,NA
97,India,Delhi,Delhi,"DTU, Delhi - CPCB",30-09-19 11:00,PM10,20,157,82,NA
98,India,Delhi,Delhi,"DTU, Delhi - CPCB",30-09-19 11:00,NO2,3,87,63,NA
99,India,Delhi,Delhi,"DTU, Delhi - CPCB",30-09-19 11:00,NH3,14,24,21,NA
100,India,Delhi,Delhi,"DTU, Delhi - CPCB",30-09-19 11:00,SO2,4,17,8,NA
54,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,PM2.5,22,130,52,NA
55,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,PM10,33,119,60,NA
56,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,NO2,24,48,33,NA
57,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,NH3,3,6,4,NA
58,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,SO2,14,20,17,NA
59,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,CO,25,70,59,NA
60,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 12:00,OZONE,3,76,20,NA
61,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,PM2.5,17,80,43,NA
62,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,PM10,17,135,72,NA
63,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,NO2,26,85,49,NA
64,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,NH3,4,7,5,NA
65,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,SO2,5,14,8,NA
66,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,CO,45,124,114,NA
67,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 12:00,OZONE,18,25,21,NA
68,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 12:00,PM2.5,12,92,47,NA
69,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 12:00,PM10,13,137,72,NA
70,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 12:00,NO2,15,57,28,NA
71,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",01-10-19 12:00,NH3,3,6,4,NA
